0,693,1787,916,3935,2974,1315,2942,2530,32,3847,2962,1594,3772,942,1270,1130,227,3180,959,2752,701,3897,1169,2498,2736,3583,965,4062,103,2482,2796,2838,3406,1694,1969,723,3536,2352,4044,1321,2922,2938,2976,2847,3887,3657,3388,837,661
1420,3689,3323,3297,2980,1381,3047,3265,913,2735,2710,3692,3286,1349,2719,3866,3177,2403,553,370,768,731,191,2050,29,1847,1530,802,2034,2724,2208,3171,3405,3743,2791,3291,3122,2296,2265,3451,2317,2212,2956,1718,3382,762,711,3027,68,3826
593,1427,2938,2812,3176,2355,3101,2413,1768,1761,1579,342,3302,1201,306,3147,3056,1947,3716,3699,1306,277,3338,1915,4020,3823,1903,779,3678,725,3396,727,1774,2417,485,316,2179,2374,18,2907,3296,1768,2285,1695,3979,1733,712,2279,941,2046
3670,1377,3493,3967,618,44,1151,1770,276,2329,21,3599,145,2229,1009,1868,932,2631,1676,1733,3934,2658,100,3812,2038,169,1085,2502,3181,2864,2691,483,1904,1226,3581,602,472,2792,886,711,3218,3555,3559,1548,2392,2635,2178,3627,818,1344
1215,2430,2251,2882,0,2629,2487,1429,3111,3189,23,1380,1664,503,2730,1135,864,1121,3115,1606,2578,1772,1998,976,754,1276,822,3301,809,2799,721,1105,1539,1247,3642,3419,1610,662,1068,1132,2726,1773,3663,3034,3247,1771,793,1490,2550,3943
2740,2282,212,3269,3068,0,728,414,3444,1397,1351,3171,1652,3016,78,162,853,1068,1418,2157,2839,183,2104,1349,1933,2993,3281,3874,1873,3123,1339,442,1449,219,2308,1835,1670,2274,494,1300,3802,3164,1700,3896,1425,1749,3672,493,2342,1228
598,3050,1917,1622,663,3264,0,629,2952,2481,975,20,1248,2169,3943,1122,2170,247,3573,2899,2199,2030,624,1143,2157,2121,2214,3055,1028,2252,707,3872,2060,2934,4065,2975,2207,928,964,3169,222,1953,1358,2916,1874,3670,1656,1366,3906,983
3863,3971,254,3704,746,2193,3738,0,217,2987,726,3417,3401,2420,525,750,2769,2324,177,1328,2382,3251,1993,1744,3702,14,1193,2299,573,3237,1566,1485,187,1619,47,2738,2130,1216,1142,3749,2931,2829,3048,2520,1959,2548,1812,4029,3681,2610
519,1378,3752,2629,2301,3580,1912,3327,0,3314,231,2656,64,416,1142,3778,3340,1524,3737,690,3014,2668,801,2053,3211,1757,1951,1324,1384,2702,3488,968,1146,3362,1539,3163,3929,2705,1013,274,3467,652,605,770,3251,3530,456,2070,3545,3620
746,3679,3922,3225,2722,1573,3915,2163,1658,1049,3896,1783,849,3286,1767,3877,501,1312,3952,375,219,1773,1641,383,115,1531,3621,3594,1904,2316,2090,3151,2345,4019,3538,332,2136,2237,2672,3237,2889,2112,1664,2141,1164,2194,3603,3951,2538,92
3403,3764,3526,1753,1723,1856,1153,2390,1509,2037,955,2840,2623,2925,2583,1596,3737,4049,986,2240,3443,1581,744,1520,1652,1068,3685,2517,237,1625,2884,2828,2474,1722,1285,1716,632,3914,3086,892,1986,2875,2032,1137,614,693,1222,2942,1563,1243
4088,633,3919,1974,2073,1142,4057,1746,3436,3685,1929,2790,1768,471,2720,1753,402,2829,389,2055,2753,3815,654,3323,2931,3412,3285,3622,470,2506,3728,3003,764,875,3003,1107,3965,1730,2374,4091,4089,283,1474,1979,242,2524,3949,1978,738,1893
447,1583,3415,19,3611,312,1680,54,259,3883,3990,1710,3973,3986,1148,3704,1820,3488,1572,1608,3963,1886,389,2369,1137,3961,783,821,3162,1294,3256,2897,1060,1025,1111,3083,544,1413,101,1405,1322,2017,2092,290,3896,1633,673,266,2522,436
2398,2538,291,737,729,3057,1140,979,1256,2441,275,1033,2333,0,22,866,1000,3443,3549,2880,1208,2350,255,1867,3651,1444,2357,2434,3864,2026,55,1340,944,342,1082,67,590,990,38,3740,2084,2952,724,3153,493,3397,209,2105,3347,1433
2262,2701,3191,546,3560,3060,748,4018,62,824,1936,924,1394,2838,0,894,1424,728,1039,3605,1548,413,3685,3447,208,50,1419,2715,2423,1072,910,2115,1546,591,3460,1244,2770,3633,2591,3935,2316,3511,311,476,1690,3103,2430,3512,3425,2331
360,2612,1023,3884,1378,3091,2503,3606,3983,3229,9,4094,2309,1841,704,0,4037,3675,1398,229,3594,2513,528,2215,1845,495,511,3491,1197,609,3498,623,3086,2278,1440,1059,111,2176,1691,3764,2573,3985,2147,980,584,2953,224,115,1282,3653
1256,512,972,2935,381,2368,903,2235,2830,3253,2157,311,2607,1035,3062,3792,0,3140,2515,1951,1278,745,417,3046,2741,3386,3031,2878,2289,801,3782,2812,1916,583,2762,1841,3330,865,2045,3567,150,3247,467,2966,2792,159,1649,969,3388,2490
2601,739,606,2301,1530,446,55,1139,443,3969,480,462,1011,749,1225,2104,3197,3101,2612,2606,3767,2317,3295,2393,1084,2714,52,1334,40,2884,3129,2853,1469,923,3061,2367,634,918,1363,619,3883,486,1821,1380,1007,773,3082,1778,1752,33
522,2644,3010,3178,1553,3000,2981,709,3739,1936,2306,304,1476,795,2940,901,3899,101,4022,4039,850,3745,731,2023,1649,2768,801,2061,4040,2581,2328,2289,2442,2732,2553,3852,721,4087,2990,3155,3067,2271,1298,1714,2788,600,4012,697,109,2950
4049,1043,1717,3623,316,2213,1761,1014,1260,92,205,4094,863,2709,1155,3037,1805,1512,2015,1012,650,3819,3321,2939,3008,497,2652,2833,1971,2944,3783,2149,2926,2483,133,3239,3533,293,3199,151,3734,2554,3715,596,3313,3956,3007,327,1718,919
3153,704,34,847,3941,922,377,244,2922,3214,25,1441,3904,946,377,1990,2325,1597,3031,1108,0,3523,644,3907,2262,2709,869,2165,3422,3177,1752,3322,718,2172,902,3042,528,2523,193,1307,292,2688,3861,1132,3204,2279,738,3863,3609,1010
4053,186,2004,2164,284,2888,915,3491,2283,3936,377,3516,3269,2687,3087,1316,3897,664,2279,803,106,0,116,482,476,2707,3045,3973,1116,3697,1879,652,1212,389,2136,3208,32,504,152,2079,761,2603,522,3456,1047,3610,2584,3419,1378,1297
2339,587,2170,730,430,580,46,3003,3193,274,2035,1625,50,530,3266,3233,2706,2740,2811,944,1036,1557,0,3640,22,1085,2529,3316,2210,3799,1316,1125,1772,3907,2605,727,536,2512,2966,2956,2862,3461,2349,634,4063,406,249,3690,3804,3195
2583,3016,3071,102,3917,67,297,978,701,2775,332,191,3086,1851,2190,2554,1860,2821,2236,502,1341,4005,2025,0,1783,2886,2011,846,1949,1262,3823,3570,1242,3511,730,1642,2672,1149,744,362,2364,1787,1468,3031,1850,3748,3651,513,2656,1572
756,1005,2845,3182,1357,1776,1293,780,3578,2154,63,3028,3834,1251,2483,1941,3696,904,139,3964,1220,1255,1588,831,2516,2129,528,624,3167,496,424,760,3031,613,3836,2987,1203,3918,433,1843,2526,2568,3305,3368,872,2361,1127,27,2230,2116
