0,4060,2684,2109,2607,2576,8,551,2967,598,136,3921,770,2532,695,3064,3055,1732,1165,1210,741,1492,1776,1472,222,3126,2791,985,409,1348,656,1513,57,3342,922,2555,2894,2820,3419,3843,3943,429,895,1230,2258,3611,50,3233,2886,382
2678,0,3719,3799,2774,1829,2743,2665,4000,2000,1514,3023,2903,2625,66,2661,1194,3041,628,2588,465,2347,3520,817,4043,3058,2434,726,3099,35,2706,2776,2853,483,3429,572,2588,1281,2368,2959,441,3512,1494,509,1776,3714,463,2583,1441,891
509,3129,0,2631,2041,3540,3745,3313,3445,2657,3962,3701,4072,2492,2566,4060,497,1196,372,1980,520,2150,3425,2204,2885,79,3126,397,807,1858,1358,783,2815,867,1912,1515,2427,3510,1665,2720,476,2872,4034,2889,2167,750,3280,4044,3225,2390
3329,2319,1183,0,1524,876,3875,2186,2676,3173,1563,668,806,90,3211,1696,2675,456,42,2132,521,1651,2223,1735,2946,2609,2203,189,1862,1882,2539,179,1991,3104,2450,194,2219,3597,2352,3009,4071,3660,2092,2106,470,1535,2664,3768,162,950
450,3882,3239,1394,0,454,3141,3067,1532,3759,3393,3536,3668,2953,1208,2589,1287,923,2652,3516,1633,1461,1595,3614,1776,2243,2044,3116,2022,1804,3240,2898,3556,194,2865,3054,3562,1243,2538,3755,1165,2713,3786,3829,3065,718,3933,1649,3118,2011
496,181,3665,2861,1937,0,3404,4051,3111,2295,2289,3980,910,1722,114,2789,2806,80,3272,3686,1882,3620,715,3580,3794,867,3168,561,2501,2478,2177,2687,1923,3207,1411,906,4057,2705,3986,673,2420,2337,3757,4091,3166,3395,2221,3053,1828,217
3417,1277,3624,3593,765,2022,0,3500,3256,807,1028,2389,3673,3055,2735,503,3202,3498,2150,1295,3746,1671,351,4066,2912,1500,163,738,939,1169,2057,694,843,755,2645,578,2705,2803,2131,924,1793,1323,1390,3679,2893,757,40,3410,1508,1546
2680,2837,3492,3724,3433,662,1492,0,2935,4093,2513,467,3258,635,3870,3856,48,76,1897,3182,3656,2,1493,2795,3225,688,1012,1101,4063,2254,1209,3979,363,3248,3342,1072,631,146,3002,2551,3937,3891,3846,2593,1339,2651,2209,2073,3556,2847
702,3116,425,2227,308,2799,413,4025,0,470,796,1603,1362,1669,965,3719,122,3757,718,3875,508,2931,3586,1054,860,1554,3901,476,3211,2061,2326,261,2191,641,1727,603,3951,3733,204,2073,2928,2367,172,1719,2823,2317,3521,914,2818,3626
721,327,2404,3001,2515,1522,3588,508,1186,0,3463,2992,2207,3609,1543,369,3117,2690,3323,779,2739,3621,1422,2922,1541,102,3466,2071,2093,891,1785,1025,627,960,2191,640,797,1976,2630,531,2898,2624,754,3095,2114,1569,2292,734,381,3748
3844,346,3505,3242,3628,1733,2650,2346,2247,3264,0,3206,1993,812,2683,845,993,581,1518,538,2064,3805,798,2004,3619,1802,3115,2387,241,3244,1443,769,1824,1115,2651,2857,3868,2729,2970,1069,1745,929,266,1677,3845,4013,2132,2729,3725,763
1004,3897,586,3019,1746,4092,100,3728,1816,595,2749,0,525,3336,2774,2592,4049,1919,1825,2648,1439,1614,294,3221,3405,1558,3,3637,456,2871,2421,3609,1788,100,1735,3403,3030,93,2184,1294,1295,1736,3955,3345,379,805,1,2081,543,276
